age,Data.Protein,Data.Fat.Total Lipid,Data.Fat.Polysaturated Fat,Data.Carbohydrate,Data.Fiber,Data.Water,Data.Vitamins.Vitamin A,Data.Major Minerals.Calcium,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Data.Thiamin,Data.Riboflavin,Data.Niacin,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin B12,Data.Choline,Data.Vitamins.Vitamin C,Data.Major Minerals.Phosphorus,Data.Major Minerals.Magnesium,Data.Major Minerals.Sodium,Data.Major Minerals.Potassium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Zinc
0,9,31,4.9,59,0,700,375,200,4,5,0.2,0.3,2,0.1,0.4,125,40,100,30,120,400,200,0.3,1.1
1,9,31,4.9,59,0,700,375,200,4,5,0.2,0.3,2,0.1,0.4,125,40,100,30,120,400,200,0.3,1.1
2,9,31,4.9,59,0,700,375,200,4,5,0.2,0.3,2,0.1,0.4,125,40,100,30,120,400,200,0.3,1.1
3,9,31,4.9,59,0,700,375,200,4,5,0.2,0.3,2,0.1,0.4,125,40,100,30,120,400,200,0.3,1.1
4,9,31,4.9,59,0,700,375,200,4,5,0.2,0.3,2,0.1,0.4,125,40,100,30,120,400,200,0.3,1.1
5,9,31,4.9,59,0,700,375,200,4,5,0.2,0.3,2,0.1,0.4,125,40,100,30,120,400,200,0.3,1.1
6,15,35,4.9,105,11,900,400,270,5,10,0.3,0.4,4,0.3,1.5,150,50,275,55,370,700,220,11,3
7,15,35,4.9,105,11,900,400,270,5,10,0.3,0.4,4,0.3,1.5,150,50,275,55,370,700,220,11,3
8,15,35,4.9,105,11,900,400,270,5,10,0.3,0.4,4,0.3,1.5,150,50,275,55,370,700,220,11,3
9,15,35,4.9,105,11,900,400,270,5,10,0.3,0.4,4,0.3,1.5,150,50,275,55,370,700,220,11,3
10,15,35,4.9,105,11,900,400,270,5,10,0.3,0.4,4,0.3,1.5,150,50,275,55,370,700,220,11,3
11,15,35,4.9,105,11,900,400,270,5,10,0.3,0.4,4,0.3,1.5,150,50,275,55,370,700,220,11,3
12,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
13,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
14,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
15,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
16,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
17,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
18,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
19,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
20,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
21,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
22,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
23,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
24,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
25,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
26,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
27,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
28,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
29,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
30,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
31,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
32,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
33,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
34,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
35,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
36,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
37,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
38,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
39,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
40,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
41,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
42,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
43,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
44,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
45,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
46,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
47,20,45,7.7,215,19,1150,400,650,6,15,0.5,0.5,6,0.5,1.5,200,40,460,65,800,2600,340,7,3
48,25,50,10.9,220,20,1450,450,1000,7,20,0.6,0.6,8,0.6,1.5,250,45,500,95,900,2700,440,10,5
